2026-07-29T16:43:42 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=useRecordSardineSessionIdMutation status=200
2026-07-29T16:43:42 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=HomeQuery status=200
2026-07-29T16:43:42 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=LayoutBannersQuery status=200
2026-07-29T16:43:43 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=useCurrencyConverterQuery status=200
2026-07-29T16:43:43 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T16:43:43 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=useCurrencyConverterQuery status=200
2026-07-29T16:43:45 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T16:43:47 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=usePaymentMethodsQuery status=200
2026-07-29T16:43:47 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T16:43:50 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T16:43:52 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T16:43:52 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=usePaymentMethodsQuery status=200
2026-07-29T16:43:54 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T16:43:55 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=DepositTriggerV2Query status=200
2026-07-29T16:43:55 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=DepositInputQuery status=200
2026-07-29T16:43:56 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T16:43:57 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=SendPreloadableQuery status=200
2026-07-29T16:43:57 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=SendRecipientCellMutation status=200
2026-07-29T16:43:57 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=SendRecipientCellMutation status=200
2026-07-29T16:43:57 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=SendRecipientCellMutation status=200
2026-07-29T16:43:57 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=SendRecipientCellMutation status=200
2026-07-29T16:43:57 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=SendFlowSystemAlertWithWaterfallQuery status=200
2026-07-29T16:43:57 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=useHasBtcLightningSupportQuery status=200
2026-07-29T16:43:57 | WARNING  | coinbase_webkit:001:ba607ac7 | GraphQL captured op=useWarmSardineRiskEvaluationMutation status=200
2026-07-29T16:43:58 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T16:44:00 | INFO     | coinbase_webkit:001:ba607ac7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
