2026-07-29T17:10:07 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 1, "firstCryptoSpans": null}
2026-07-29T17:10:08 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCreateBuyV2Mutation status=200
2026-07-29T17:10:08 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePreCheckPayinRiskMutation status=200
2026-07-29T17:10:08 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=BuyPreviewStepV2Query status=200
2026-07-29T17:10:09 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCreateRiskQuoteMutation status=200
2026-07-29T17:10:09 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=BuyPreviewStepV2Query status=200
2026-07-29T17:10:09 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=BaseSignupCellV2Query status=200
2026-07-29T17:10:09 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:12 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:12 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCommitBuyV2Mutation status=200
2026-07-29T17:10:12 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePollFor3dsDetailsQuery status=200
2026-07-29T17:10:12 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=CoinbaseOneSignupStepDynamicContentQuery status=200
2026-07-29T17:10:13 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePollFor3dsDetailsQuery status=200
2026-07-29T17:10:14 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:14 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePollFor3dsDetailsQuery status=200
2026-07-29T17:10:15 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePollFor3dsDetailsQuery status=200
2026-07-29T17:10:16 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:16 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePollFor3dsDetailsQuery status=200
2026-07-29T17:10:17 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=usePollFor3dsDetailsQuery status=200
