2026-07-29T19:06:54 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=TransactRAV4Query status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=TransactionHistoryRowMediaQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=TransactionHistoryRowMediaQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=TransactionHistoryRowMediaQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=TransactionHistoryRowMediaQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=TransactionHistoryRowMediaQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:06:55 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
